,Unnamed: 0,driver,country,status,timestamp,lat,lon
122,135,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:00:05.168000+00:00,3.34729,36.74089
123,136,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:01:04.114000+00:00,3.34588,36.73905
124,137,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:02:03.622000+00:00,3.33895,36.73868
125,138,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:03:03.827000+00:00,3.33313,36.73854
126,139,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:04:03.694000+00:00,3.33157,36.73262
127,140,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:05:03.618000+00:00,3.33193,36.72413
128,141,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:07:03.662000+00:00,3.20189,36.69945
129,142,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:08:03.614000+00:00,3.20189,36.69945
130,143,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:09:03.867000+00:00,3.20189,36.69945
131,144,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:10:03.987000+00:00,3.20189,36.69945
132,145,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:11:03.498000+00:00,3.20189,36.69945
133,146,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:12:03.986000+00:00,3.20189,36.69945
134,147,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:13:04.075000+00:00,3.20189,36.69945
135,148,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:14:03.813000+00:00,3.20189,36.69945
136,149,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:15:03.753000+00:00,3.20189,36.69945
137,150,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:16:03.594000+00:00,3.20189,36.69945
138,151,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:17:03.646000+00:00,3.20189,36.69945
139,152,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:18:04.087000+00:00,3.20189,36.69945
140,153,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:19:03.656000+00:00,3.20189,36.69945
141,154,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:20:04.373000+00:00,3.20189,36.69945
142,155,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:21:03.623000+00:00,3.20189,36.69945
143,156,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:22:03.598000+00:00,3.20189,36.69945
144,157,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:23:04.392000+00:00,3.20652,36.69919
145,158,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:24:03.753000+00:00,3.20722,36.69913
146,159,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:25:03.995000+00:00,3.20725,36.69909
147,182,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:48:03.758000+00:00,2.896,36.77726
148,183,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:49:03.993000+00:00,2.90124,36.78442
149,184,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:50:03.721000+00:00,2.90381,36.79257
150,185,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:51:03.701000+00:00,2.90566,36.79756
151,186,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:52:03.706000+00:00,2.91086,36.80039
152,187,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:53:03.515000+00:00,2.91753,36.80035
153,188,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:54:03.670000+00:00,2.92392,36.80141
154,189,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:55:03.531000+00:00,2.92855,36.80435
155,190,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:56:03.510000+00:00,2.93616,36.8063
156,191,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:57:04.544000+00:00,2.93805,36.80451
157,192,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:58:03.639000+00:00,2.93904,36.80366
158,193,593f4da04ec04600269fcf33,DZA,ONLINE,2023-01-05 04:59:03.661000+00:00,2.93977,36.80327
422,467,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:00:05.168000+00:00,3.07148,36.74291
423,468,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:01:04.114000+00:00,3.07148,36.74291
424,469,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:02:03.622000+00:00,3.07147,36.7429
425,470,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:03:03.827000+00:00,3.07149,36.74292
426,471,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:04:03.694000+00:00,3.07149,36.74292
427,472,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:05:03.618000+00:00,3.07148,36.74294
428,473,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:06:04.058000+00:00,3.07146,36.74298
429,474,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:07:03.662000+00:00,3.0715,36.74291
430,475,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:08:03.614000+00:00,3.07144,36.74295
431,476,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:09:03.867000+00:00,3.07154,36.74289
432,477,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:10:03.987000+00:00,3.07145,36.74293
433,478,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:11:03.498000+00:00,3.07111,36.74294
434,479,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:12:03.986000+00:00,3.07136,36.74288
435,480,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:13:04.075000+00:00,3.07159,36.74282
436,481,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:14:03.813000+00:00,3.07583,36.7398
437,482,5971534a2affbf0026a42abe,DZA,ONLINE,2023-01-05 04:15:03.753000+00:00,3.08293,36.74264
